population;max_iterations;execution;best_fitness;mean;standard_deviation
50;20;0;-885.9867;-835.3511;101.1132
50;20;1;-718.1669;-713.2763;14.6919
50;20;2;-716.6355;-702.0102;52.3835
50;20;3;-716.3943;-704.4911;30.1599
50;20;4;-959.5169;-924.7514;74.5199
50;20;5;-894.2669;-869.4058;48.2400
50;20;6;-888.9435;-870.5969;57.4173
50;20;7;-935.1316;-933.4822;1.8253
50;20;8;-786.4399;-777.1279;17.4810
50;20;9;-713.0117;-689.7225;41.9853
100;20;0;-894.3609;-891.5015;3.9839
100;20;1;-894.5646;-880.8182;47.5658
100;20;2;-926.5082;-877.4977;36.5822
100;20;3;-888.8673;-866.5594;56.1973
100;20;4;-942.7018;-919.1140;42.9485
100;20;5;-894.5778;-888.8269;13.2754
100;20;6;-894.4403;-884.0664;17.1886
100;20;7;-957.5275;-904.9327;90.4945
100;20;8;-777.8293;-712.4110;28.0080
100;20;9;-786.5126;-752.7765;23.8626
50;50;0;-959.6338;-910.0509;103.3440
50;50;1;-752.3835;-739.6819;13.5071
50;50;2;-716.1522;-705.6728;25.8205
50;50;3;-718.1673;-713.5026;22.3219
50;50;4;-959.6394;-944.4065;15.5615
50;50;5;-718.1675;-717.9114;0.6259
50;50;6;-894.5789;-886.0545;23.7843
50;50;7;-716.6711;-700.9156;55.5496
50;50;8;-888.9481;-884.9582;15.5208
50;50;9;-894.5787;-889.1839;26.8959
100;50;0;-888.9491;-887.7225;3.2434
100;50;1;-959.6403;-941.4035;52.8181
100;50;2;-894.5789;-890.8519;12.7411
100;50;3;-888.9491;-882.5131;21.7679
100;50;4;-935.3376;-932.4578;11.7744
100;50;5;-959.6406;-936.7309;55.1004
100;50;6;-945.7642;-928.6909;22.8600
100;50;7;-716.6713;-701.5747;31.1230
100;50;8;-888.9491;-888.7071;0.5197
100;50;9;-888.9491;-884.8748;16.6904
50;100;0;-959.6406;-944.1150;22.3982
50;100;1;-959.6407;-951.8998;16.8319
50;100;2;-786.5260;-774.0353;32.3772
50;100;3;-894.5721;-860.1965;44.1581
50;100;4;-894.5789;-893.6773;4.1100
50;100;5;-786.5260;-781.2660;25.5003
50;100;6;-782.3930;-736.0625;25.8533
50;100;7;-888.9491;-884.3939;16.5248
50;100;8;-894.5789;-893.4466;6.4940
50;100;9;-718.1675;-714.9350;18.9276
100;100;0;-821.1965;-819.1191;14.2823
100;100;1;-959.6407;-942.9413;39.9551
100;100;2;-786.5260;-778.2820;24.6115
100;100;3;-888.9491;-886.0391;13.9189
100;100;4;-959.6407;-938.9523;38.7739
100;100;5;-894.5789;-892.4711;18.2614
100;100;6;-894.5789;-893.0020;7.4073
100;100;7;-786.5220;-768.6375;24.2721
100;100;8;-894.5789;-893.1802;7.4285
100;100;9;-894.5789;-893.6891;6.0925
